"Id","Name","Surname","Date of birth"
"234564","Alexander","Ivanov","2013-02-03"
"987654","Olivia","Smith","2012-05-10"
"456789","Grace","King","1995-07-10"
"345678","Ella","Young","1996-04-03"
"876543","Noah","Jones","2009-04-01"
"567890","Elizabeth","Walker","1998-11-19"
"789012","Evelyn","Thomas","2001-02-27"
"234567","Sofia","Hall","1997-01-26"
"890123","Emily","Clark","1999-08-12"
"678901","Harper","Anderson","2002-12-20"
"123456","Victoria","Scott","1994-10-17"
"","","Average date of birth","2001-11-27"
